source,campaign,influencer_id,user_id,product,date,orders,revenue
YouTube,Wellness Week,1,2217112c-cb5c-4d7f-9073-06abea6cc1e0,Protein Powder,2025-04-17,2,9334
YouTube,Wellness Week,1,6debc11f-c854-423e-be55-c50313d5155c,Creatine,2025-05-04,1,1637
YouTube,Winter Bulk,1,0c27aa3b-981a-4bc4-9a66-51c2f1a61a7d,Creatine,2025-06-04,1,3456
YouTube,Summer Fit,1,c09f6828-0aef-4b6a-a45c-393d4ffa4632,Protein Powder,2025-04-07,3,4689
YouTube,Festival Boost,1,187dbfb9-f03a-4d38-92e2-e022a1345fcd,Omega 3,2025-03-27,2,7522
YouTube,Summer Fit,1,9b7d2b94-dc52-41c8-b74e-10960f1b00c3,Multivitamins,2025-03-20,2,7708
YouTube,Festival Boost,1,ab410cdb-86ef-4461-a4ea-5bdb3af3ad93,Creatine,2025-03-01,2,2214
YouTube,Winter Bulk,1,8933c220-3929-41df-8f29-b9ad7801989e,Multivitamins,2025-06-20,3,14214
YouTube,Wellness Week,1,1e2ec21f-28c0-4148-875a-0ab3a8f85d6f,Creatine,2025-04-28,3,5970
YouTube,Summer Fit,1,e20757dc-f069-4af3-8de6-5f141100bf5e,Omega 3,2025-06-21,3,2859
Instagram,Wellness Week,2,c3602383-c852-4921-a850-1a3931f8db73,Energy Bar,2025-07-08,2,3696
Instagram,Winter Bulk,2,9d583fec-555d-4699-b5d8-0c688408103c,Omega 3,2025-06-20,3,7041
Instagram,Winter Bulk,2,c9075dd6-4b62-4be6-ae98-674f35aa7df2,Multivitamins,2025-03-28,2,2292
Instagram,Wellness Week,2,bc34e7b9-e3e1-44dd-90b5-3cf1fd069517,Energy Bar,2025-02-03,3,8244
Instagram,Summer Fit,2,23c785cb-6625-4f6a-b232-f917990dc0f3,Omega 3,2025-02-16,3,14610
Instagram,Wellness Week,2,753d3be8-dcf2-423b-8a7f-3e4cf27590a8,Multivitamins,2025-05-20,3,5643
Instagram,Summer Fit,2,255beeea-a9bd-495a-84af-619b95e92842,Protein Powder,2025-04-06,3,9795
Instagram,Winter Bulk,2,b41a064e-33a7-4a56-8f2a-2c6b2bc028e1,Multivitamins,2025-02-23,1,872
Instagram,Summer Fit,2,3d41fe83-b196-445d-b4fb-c16cb6533b67,Creatine,2025-04-10,3,11736
YouTube,Festival Boost,3,ee0dce2b-4f08-4b76-b0c0-9200cf504145,Multivitamins,2025-05-10,3,8922
YouTube,Winter Bulk,3,0ed3f657-ff45-4197-af9b-fe2b40b05c2d,Creatine,2025-02-02,3,11478
YouTube,Wellness Week,3,b8b8f2b8-583c-4b34-bee2-3df0d8be0fa8,Creatine,2025-06-05,1,990
YouTube,Festival Boost,3,2c8770ec-7998-408f-9429-2ca8ef77e808,Multivitamins,2025-04-25,2,8932
YouTube,Winter Bulk,3,a3c5b3e0-ccbe-4ce9-bc02-8a85e66f6652,Energy Bar,2025-02-23,2,3352
YouTube,Festival Boost,3,6842dbd8-f13d-4348-b103-59a5e3d6c728,Multivitamins,2025-03-17,3,9987
YouTube,Summer Fit,3,b8e6d92d-a938-4822-954c-0efdefaa40c9,Energy Bar,2025-01-22,2,9436
YouTube,Summer Fit,3,176692ba-8853-44e9-955a-008c8d22fda5,Energy Bar,2025-02-18,1,4321
YouTube,Wellness Week,3,8d795fb0-0ab0-42a9-bd52-638cb082f8e3,Protein Powder,2025-02-17,2,5060
YouTube,Festival Boost,3,e21f5aab-7780-4fcb-b12f-2b659d2e9733,Omega 3,2025-06-09,1,2877
YouTube,Wellness Week,3,d97e3c8f-ff59-4173-80ab-bb2fe1b6367d,Energy Bar,2025-07-13,2,5066
YouTube,Wellness Week,3,47f9fcbb-61c4-4c84-b9ae-468412d3dbae,Multivitamins,2025-04-09,3,9183
YouTube,Festival Boost,3,a5c10cd4-d1be-4f33-bf2a-6abe3c7df44c,Creatine,2025-02-07,2,9432
YouTube,Summer Fit,3,d39ac9b1-1bed-4f02-baf6-53828837a220,Protein Powder,2025-02-01,2,9148
